Title ID HEX	Title ID DEC	Serial Number	Title Name	Publisher	Region	Rating	Version	Media Type	Init Flags	Entry Point	Cert Timestamp	MD5 Checksum
0x4541038B	1161888651	EA-907		Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8DDE8CD) Retail	Fri Sep 23 03:21:41 2005	2DA64A90F21A33E1D0E9956B877F99C7
0x4343000D	1128464397	CC-013		Capcom	(7) PAL + Japan + USA / Canada	(0) RP - ALL	0x00000003	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EE6572) Retail	Sat Nov 08 05:55:16 2003	C2A1FD4BBAF4A3414809025614C48AB4
0x43430009	1128464393	CC-009		Capcom	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) Chihiro_MEDIA_BOARD + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EE9CDE) Retail	Fri Jan 23 06:51:24 2004	BA744CBB670C642CE21E5E488CE35092
0x45410026	1161887782	EA-038	007™: NightFire™	Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F2E507) Retail	Thu Oct 24 07:19:50 2002	BCA5F7CCCD764E02DBE7E724904827BB
0x55530036	1431502902	US-054	187 Ride or Die	Ubisoft	(7) PAL + Japan + USA / Canada	(2) M - Mature	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8F3523E) Retail	Thu Jun 23 21:14:51 2005	3765060CC9E9F2363E44D98D60F4444D
0x45530018	1163067416	ES-024	25 To Life	Eidos Interactive	(3) Japan + USA / Canada	(2) M - Mature	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000004) 64MB RAM limit	(0xA8DA9932) Retail	Thu Dec 15 07:22:23 2005	F543CECE436441BBDB04E397314913AE
0x54540001	1414791169	TT-001	4X4 EVO 2	Take-Two Interactive Software	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8ED4E4F) Retail	Sat Oct 06 04:51:54 2001	98332FB86CE01370B242607322168672
0x56550042	1448411202	VU-066	50 Cent: Bulletproof	Vivendi Universal Games	(7) PAL + Japan + USA / Canada	(2) M - Mature	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8FD47DF) Retail	Sat Oct 08 06:54:21 2005	11818733452E3B981E4B9C28450237AD
0x4143000D	1094909965	AC-013	AFL Live 2003	Acclaim Entertainment	(4) PAL	(0) RP - ALL	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F7D548) Retail	Fri Oct 04 18:28:04 2002	30113D98619D406213FEF90A958D5B8A
0x4143001B	1094909979	AC-027	AFL Live 2004	Acclaim Entertainment	(4) PAL	(0) RP - ALL	0x00000202	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DF6C29) Retail	Fri Aug 08 20:33:54 2003	65E593B142367B59B8E0ABA77105652A
0x545100F5	1414594805	TQ-245	AFL Live Premiership Edition	THQ	(4) PAL	(0) RP - ALL	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DF5C59) Retail	Thu Aug 11 18:24:32 2005	2E0B7BF0BA953A911ECB1BF092F45FAF
0x41430023	1094909987	AC-035	AFL Live Premiership Edition	Acclaim Entertainment	(4) PAL	(0) RP - ALL	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DF5C59) Retail	Sat Apr 03 00:36:28 2004	0F3FF9F74F092ECDA03CB26A156ED19D
0x41430016	1094909974	AC-022	ALIAS	Acclaim Entertainment	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FDE099) Retail	Sat Feb 14 07:23:53 2004	4F5DA888D57483EE74580F63A516C915
0x42530009	1112735753	BS-009	AMF Bowling 2004	Bethesda Softworks	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FB44F7) Retail	Sat Nov 01 07:55:28 2003	AB3A25C2FF2A7991EE955DE79A8DD824
0x42530014	1112735764	BS-020	AMF Xtreme Bowling 2006	Bethesda Softworks	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F56E16) Retail	Wed Mar 15 06:21:49 2006	B0EFF8B4637255EAC5D358BE10862D44
0x49470015	1229389845	IG-021	APEX	Infogrames	(1) USA / Canada	(4) E - Everyone	0x00000004	(0x00000002) XBOX DVD	(0x80000005) Unused high bit (8)? + 64MB RAM limit + Mount Utility Drive	(0xA8FADB3A) Retail	Sat Feb 01 08:30:32 2003	FEBD62508A448595FD1BC2142D575C40
0x4143000A	1094909962	AC-010	ATV: Quad Power Racing 2	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F0F0C6) Retail	Wed Jan 08 08:00:13 2003	07E0F2DA2516426D69B94B0086ED1FBA
0x4D4A0009	1296695305	MJ-009	Advent Rising	Majesco Entertainment	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x80000004) Unused high bit (8)? + 64MB RAM limit	(0xA8D452E2) Retail	Fri May 13 05:55:58 2005	1CD578695CBC46F6B4500C89322D8D5E
0x4D4A0014	1296695316	MJ-020	Aeon Flux	Majesco Entertainment	(3) Japan + USA / Canada	(3) T - Teen	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DA0CCD) Retail	Thu Oct 13 07:00:01 2005	3F74FC7DE9E78AC241F339F9EDF4D536
0x4541000D	1161887757	EA-013	Agent Under Fire ™	Electronic Arts (EA)	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FE799E) Retail	Fri Feb 22 08:02:51 2002	FF55C0B0C86FE26A20926418B97B4EE7
0x41430007	1094909959	AC-007	Aggressive Inline	Acclaim Entertainment	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8F34488) Retail	Tue Jul 16 07:09:38 2002	08EDD09F4834C32F99BADBFFC42A8BC7
0x4B4E0002	1263403010	KN-002	Airforce Delta Storm	Konami	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EC976B) Retail	Fri Nov 30 08:51:02 2001	C8D878FC4BDAD378FEFA35538F336814
0x5A440004	1514405892	ZD-004	Alien Hominid	Zushi Games (formerly Zoo Digital Publishing)	(4) PAL	(0) RP - ALL	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FAB0B2) Retail	Thu Mar 24 23:15:08 2005	8FEAB956ECA9D56794B25CF0D10C5B3A
0x41430002	1094909954	AC-002	All-Star Baseball '03	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8E42A3B) Retail	Tue Feb 19 04:36:24 2002	5DE01619CC7F0CB44AD7008C01F3DFC9
0x41430018	1094909976	AC-024	All-Star Baseball '04	Acclaim Entertainment	(1) USA / Canada	(4) E - Everyone	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8E2A67A) Retail	Wed Feb 12 07:20:34 2003	22EC264CA8FD5DBC30E7556BEEC90203
